model,fold,epoch,train_loss,train_acc,val_loss,val_acc
ResNet18,0,1,0.7318976449966431,0.925514705882353,0.5622045930694132,0.9938235294117647
ResNet18,0,2,0.572094646061168,0.9848529411764706,0.5368595304208643,0.9973529411764706
ResNet18,0,3,0.5489123337409075,0.9916911764705882,0.5354799500633689,0.9923529411764705
ResNet18,0,4,0.5425038190448985,0.9918382352941176,0.5355400043375352,0.9964705882352941
ResNet18,0,5,0.5352089825798484,0.9935294117647059,0.5220960337975445,0.9967647058823529
ResNet18,0,6,0.5244302547679228,0.9964705882352941,0.5140539103395798,0.9985294117647059
ResNet18,0,7,0.5196814685709337,0.9963235294117647,0.5115456450686735,0.9985294117647059
ResNet18,0,8,0.5172922102142783,0.9969117647058824,0.5100464280913858,0.9982352941176471
ResNet18,0,9,0.5140844994432786,0.9973529411764706,0.5093930135053747,0.9988235294117647
ResNet18,0,10,0.5113660593593822,0.9983088235294117,0.5063208184522741,0.9991176470588236
ResNet18,0,11,0.5095733461660498,0.9985294117647059,0.504466067201951,0.9994117647058823
ResNet18,0,12,0.509010220415452,0.9978676470588236,0.5039947201223934,0.9991176470588236
ResNet18,0,13,0.5086747068517349,0.9983088235294117,0.5038521455315983,0.9994117647058823
ResNet18,0,14,0.508036918219398,0.99875,0.5038606008361367,0.9991176470588236
ResNet18,0,15,0.5075090318567612,0.9988970588235294,0.5037685994540944,0.9991176470588236
ResNet18,1,1,0.7275515337551341,0.9276470588235294,0.545935151016011,0.9955882352941177
ResNet18,1,2,0.5715719164119047,0.9858088235294118,0.6165073619169348,0.9761764705882353
ResNet18,1,3,0.5501008521809297,0.99125,0.5940229267232559,0.9791176470588235
ResNet18,1,4,0.5443334810874041,0.9910294117647059,0.5173567969658796,0.9973529411764706
ResNet18,1,5,0.5292886606384726,0.9940441176470588,0.5170578485376695,0.9955882352941177
ResNet18,1,6,0.5255338989987093,0.9950735294117647,0.5110246940220103,0.9988235294117647
ResNet18,1,7,0.5204347341200884,0.9960294117647058,0.5138544229900136,0.9985294117647059
ResNet18,1,8,0.5158932713901295,0.996985294117647,0.5113598970805897,0.9982352941176471
ResNet18,1,9,0.5145860991758459,0.9971323529411765,0.5086930622774012,0.9985294117647059
ResNet18,1,10,0.5122154767373029,0.9979411764705882,0.508263370850507,0.9988235294117647
ResNet18,1,11,0.5097916333815631,0.9983823529411765,0.5041554411719827,0.9997058823529412
ResNet18,1,12,0.5089288482946508,0.9986029411764706,0.5034267156264361,0.9994117647058823
ResNet18,1,13,0.5105202010098626,0.9980882352941176,0.5027696084976196,0.9997058823529412
ResNet18,1,14,0.507300455009236,0.9986764705882353,0.5024484989222359,0.9997058823529412
ResNet18,1,15,0.5075827674304738,0.9985294117647059,0.5023838637856877,0.9997058823529412
ResNet18,2,1,0.7444745208235348,0.9181617647058824,0.6199769292158239,0.9682352941176471
ResNet18,2,2,0.5720184049886816,0.986985294117647,0.5345183881591348,0.9970588235294118
ResNet18,2,3,0.5537504832884844,0.9888235294117647,0.5463066204856424,0.9891176470588235
ResNet18,2,4,0.5380615641089047,0.9930882352941176,0.5285307783239028,0.9955882352941177
ResNet18,2,5,0.5326284818088307,0.9941176470588236,0.5188614473623387,0.9970588235294118
ResNet18,2,6,0.5278008627891541,0.9944117647058823,0.5136305932437673,0.9973529411764706
ResNet18,2,7,0.5242353969461777,0.9950735294117647,0.518154545251061,0.9967647058823529
ResNet18,2,8,0.5168011180092307,0.9966911764705882,0.5100901501318987,0.9979411764705882
ResNet18,2,9,0.5133082131778492,0.9977205882352941,0.5091528583975399,0.9985294117647059
ResNet18,2,10,0.512369275934556,0.9977941176470588,0.510322091439191,0.9973529411764706
ResNet18,2,11,0.5085720700376174,0.9986764705882353,0.5053587899488561,0.9988235294117647
ResNet18,2,12,0.5089400851025301,0.9986764705882353,0.5048824635673972,0.9991176470588236
ResNet18,2,13,0.5084567207448623,0.9985294117647059,0.5046740984916687,0.9991176470588236
ResNet18,2,14,0.5093200543347527,0.9983823529411765,0.5042543496805079,0.9994117647058823
ResNet18,2,15,0.5063614960277781,0.9990441176470588,0.5040702378048616,0.9991176470588236
ResNet18,3,1,0.7265296159071081,0.9283823529411764,0.5689774744650897,0.9929411764705882
ResNet18,3,2,0.5758974439957563,0.9858823529411764,0.5409257047316607,0.9958823529411764
ResNet18,3,3,0.5516824234233183,0.9903676470588235,0.5355923806919771,0.9958823529411764
ResNet18,3,4,0.5358378087773042,0.9941176470588236,0.5239654664432302,0.9973529411764706
ResNet18,3,5,0.5322543727650362,0.9935294117647059,0.5150236542084637,0.9985294117647059
ResNet18,3,6,0.525832741541021,0.995,0.5145852020207573,0.9982352941176471
ResNet18,3,7,0.5198144309660968,0.9966911764705882,0.5128031604430254,0.9988235294117647
ResNet18,3,8,0.5197616264399361,0.9958823529411764,0.5085391236754024,0.9991176470588236
ResNet18,3,9,0.5146363195251016,0.9968382352941176,0.50703495796989,0.9991176470588236
ResNet18,3,10,0.5112191047387965,0.9981617647058824,0.5078397582559024,0.9985294117647059
ResNet18,3,11,0.5073407132485334,0.9991176470588236,0.5066947143218097,0.9988235294117647
ResNet18,3,12,0.5087003960328944,0.9984558823529411,0.5051071178211886,0.9988235294117647
