path,label,fold
data/train/train\0\103265.png,0,4
data/train/train\0\103266.png,0,0
data/train/train\0\103267.png,0,0
data/train/train\0\103268.png,0,1
data/train/train\0\103269.png,0,3
data/train/train\0\103270.png,0,3
data/train/train\0\103271.png,0,4
data/train/train\0\103272.png,0,0
data/train/train\0\103273.png,0,3
data/train/train\0\103274.png,0,0
data/train/train\0\103275.png,0,4
data/train/train\0\103276.png,0,3
data/train/train\0\103279.png,0,0
data/train/train\0\103280.png,0,2
data/train/train\0\103282.png,0,0
data/train/train\0\103283.png,0,4
data/train/train\0\103284.png,0,0
data/train/train\0\103305.png,0,3
data/train/train\0\103306.png,0,3
data/train/train\0\103307.png,0,2
data/train/train\0\103308.png,0,3
data/train/train\0\103310.png,0,0
data/train/train\0\103312.png,0,2
data/train/train\0\103313.png,0,0
data/train/train\0\103314.png,0,3
data/train/train\0\103315.png,0,2
data/train/train\0\103316.png,0,3
data/train/train\0\103317.png,0,4
data/train/train\0\103318.png,0,3
data/train/train\0\103319.png,0,1
data/train/train\0\103320.png,0,4
data/train/train\0\103321.png,0,1
data/train/train\0\103323.png,0,3
data/train/train\0\103324.png,0,4
data/train/train\0\103326.png,0,1
data/train/train\0\103327.png,0,3
data/train/train\0\103328.png,0,0
data/train/train\0\103329.png,0,2
data/train/train\0\103330.png,0,3
data/train/train\0\103331.png,0,2
data/train/train\0\103332.png,0,1
data/train/train\0\103333.png,0,3
data/train/train\0\103334.png,0,1
data/train/train\0\103335.png,0,4
data/train/train\0\103336.png,0,1
data/train/train\0\103337.png,0,3
data/train/train\0\103338.png,0,2
data/train/train\0\103339.png,0,2
data/train/train\0\103341.png,0,2
data/train/train\0\103342.png,0,0
data/train/train\0\103344.png,0,0
data/train/train\0\103345.png,0,1
data/train/train\0\103346.png,0,0
data/train/train\0\103347.png,0,1
data/train/train\0\103348.png,0,4
data/train/train\0\103349.png,0,4
data/train/train\0\103350.png,0,3
data/train/train\0\103351.png,0,4
data/train/train\0\103352.png,0,4
data/train/train\0\103353.png,0,4
data/train/train\0\103354.png,0,1
data/train/train\0\103355.png,0,3
data/train/train\0\103356.png,0,4
data/train/train\0\103357.png,0,0
data/train/train\0\103359.png,0,2
data/train/train\0\103360.png,0,2
data/train/train\0\103361.png,0,4
data/train/train\0\103362.png,0,1
data/train/train\0\103363.png,0,2
data/train/train\0\103364.png,0,2
data/train/train\0\103365.png,0,4
